Timestamp,Distance of optic sensor 0 [mm],Distance of optic sensor 1 [mm],RMS velocity spectrum ISO 10816 X [mm/s],RMS acceleration X [mg],RMS acceleration envelope X [mg],RMS raw data with frequency brands X [mg],Kurtosis method X [[1]],Peak to peak X [mg],Crest factor X [[1]],Analog raw input X [mg]
2026 03 12 09:08:27:763,-3.9334,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-27,34"
2026 03 12 09:08:27:765,-3.9334,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-19,53"
2026 03 12 09:08:27:767,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-7,81"
2026 03 12 09:08:27:769,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:771,-3.9985,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-7,81"
2026 03 12 09:08:27:773,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:775,-3.9985,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-7,81"
2026 03 12 09:08:27:777,-3.9334,-6.61375,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","19,53"
2026 03 12 09:08:27:779,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:781,-3.9675,-6.70125,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38",0
2026 03 12 09:08:27:783,-3.9675,-6.70125,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-23,44"
2026 03 12 09:08:27:785,-3.9675,-6.70125,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-19,53"
2026 03 12 09:08:27:787,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:789,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:791,-3.9334,-6.70125,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:793,-3.9334,-6.70125,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:795,-3.9334,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:797,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","19,53"
2026 03 12 09:08:27:799,-3.9334,-6.70125,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:801,-3.9334,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38",0
2026 03 12 09:08:27:803,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-27,34"
2026 03 12 09:08:27:805,-3.9985,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-19,53"
2026 03 12 09:08:27:807,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:809,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:811,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:813,-3.9985,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-7,81"
2026 03 12 09:08:27:815,-3.9334,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:817,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","19,53"
2026 03 12 09:08:27:819,-3.9985,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38",0
2026 03 12 09:08:27:821,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38",0
2026 03 12 09:08:27:823,-3.9334,-6.70125,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-27,34"
2026 03 12 09:08:27:825,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-15,62"
2026 03 12 09:08:27:827,-3.9675,-6.70125,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:829,-3.9985,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:831,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:833,-3.9985,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:835,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38",0
2026 03 12 09:08:27:837,-3.9334,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","15,63"
2026 03 12 09:08:27:839,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:841,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","3,91"
2026 03 12 09:08:27:843,-3.9675,-6.70125,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-23,44"
2026 03 12 09:08:27:845,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-19,53"
2026 03 12 09:08:27:847,-3.9334,-6.70125,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:849,-3.9985,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:851,-3.9675,-6.87625,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:853,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:855,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:857,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","19,53"
2026 03 12 09:08:27:859,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:861,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38",0
2026 03 12 09:08:27:863,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-27,34"
2026 03 12 09:08:27:865,-3.9334,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-19,53"
2026 03 12 09:08:27:867,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:869,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:871,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-7,81"
2026 03 12 09:08:27:873,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:875,-3.9334,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-7,81"
2026 03 12 09:08:27:877,-3.9985,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","15,63"
2026 03 12 09:08:27:879,-3.9675,-6.70125,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:881,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38",0
2026 03 12 09:08:27:883,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-27,34"
2026 03 12 09:08:27:885,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-23,44"
2026 03 12 09:08:27:887,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:889,-3.9675,-6.70125,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:891,-3.9675,-6.70125,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-7,81"
2026 03 12 09:08:27:893,-3.9334,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:895,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-7,81"
2026 03 12 09:08:27:897,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","19,53"
2026 03 12 09:08:27:899,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:901,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38",0
2026 03 12 09:08:27:903,-3.9985,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-27,34"
2026 03 12 09:08:27:905,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-19,53"
2026 03 12 09:08:27:907,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:909,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-7,81"
2026 03 12 09:08:27:911,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:913,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:915,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:917,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","19,53"
2026 03 12 09:08:27:919,-3.9334,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-7,81"
2026 03 12 09:08:27:921,-3.9334,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38",0
2026 03 12 09:08:27:923,-3.9675,-6.70125,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-27,34"
2026 03 12 09:08:27:925,-3.9675,-6.70125,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-19,53"
2026 03 12 09:08:27:927,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-7,81"
2026 03 12 09:08:27:929,-3.9985,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:931,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:933,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:935,-3.9675,-6.70125,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:937,-3.9675,-6.70125,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","15,63"
2026 03 12 09:08:27:939,-3.9675,-6.70125,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38",0
2026 03 12 09:08:27:941,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:943,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-27,34"
2026 03 12 09:08:27:945,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-15,62"
2026 03 12 09:08:27:947,-3.9985,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
2026 03 12 09:08:27:949,-3.9675,-6.78875,"0,29",11,3,0,-3,"51,94","3,402823466385289e+38","-3,91"
