sep=;



Timestamp;RMS velocitz spectrum ISO 10816 Y [mm/s];RMS acceleration Y [mg];RMS acceleration envelope Y [mg];RMS raw data with frequencz brands Y [mg];Kurtosis method Y [[1]];Peak to peak Y [mg];Crest factor Y [[1]];Analog raw input Y [mg];
2026 03 12 12:13:14:896;0,26;11;1;11,17;0,59;39,32;3,52;11,72;
2026 03 12 12:13:14:898;0,26;11;1;11,17;0,59;39,32;3,52;15,63;
2026 03 12 12:13:14:900;0,26;11;1;11,17;0,59;39,32;3,52;7,81;
2026 03 12 12:13:14:902;0,26;11;1;11,17;0,59;39,32;3,52;-3,91;
2026 03 12 12:13:14:904;0,26;11;1;11,17;0,59;39,32;3,52;-15,62;
2026 03 12 12:13:14:906;0,26;11;1;11,17;0,59;39,32;3,52;-19,53;
2026 03 12 12:13:14:908;0,26;11;1;11,17;0,59;39,32;3,52;3,91;
2026 03 12 12:13:14:910;0,26;11;1;11,17;0,59;39,32;3,52;0;
2026 03 12 12:13:14:912;0,26;11;1;11,17;0,59;39,32;3,52;3,91;
2026 03 12 12:13:14:914;0,26;11;1;11,17;0,59;39,32;3,52;3,91;
2026 03 12 12:13:14:916;0,26;11;1;11,17;0,59;39,32;3,52;7,81;
2026 03 12 12:13:14:918;0,26;11;1;11,17;0,59;39,32;3,52;19,53;
2026 03 12 12:13:14:920;0,26;11;1;11,17;0,59;39,32;3,52;7,81;
2026 03 12 12:13:14:922;0,26;11;1;11,17;0,59;39,32;3,52;-3,91;
2026 03 12 12:13:14:924;0,26;11;1;11,17;0,59;39,32;3,52;-15,62;
2026 03 12 12:13:14:926;0,26;11;1;11,17;0,59;39,32;3,52;-19,53;
2026 03 12 12:13:14:928;0,26;11;1;11,17;0,59;39,32;3,52;3,91;
2026 03 12 12:13:14:930;0,26;11;1;11,17;0,59;39,32;3,52;0;
2026 03 12 12:13:14:932;0,26;11;1;11,17;0,59;39,32;3,52;3,91;
2026 03 12 12:13:14:934;0,26;11;1;11,17;0,59;39,32;3,52;0;
2026 03 12 12:13:14:936;0,26;11;1;11,17;0,61;36,35;3,25;11,72;
2026 03 12 12:13:14:938;0,26;11;1;11,17;0,61;36,35;3,25;19,53;
2026 03 12 12:13:14:940;0,26;11;1;11,17;0,61;36,35;3,25;11,72;
2026 03 12 12:13:14:942;0,26;11;1;11,17;0,61;36,35;3,25;-3,91;
2026 03 12 12:13:14:944;0,26;11;1;11,17;0,61;36,35;3,25;-15,62;
2026 03 12 12:13:14:946;0,26;11;1;11,17;0,61;36,35;3,25;-23,44;
2026 03 12 12:13:14:948;0,26;11;1;11,17;0,61;36,35;3,25;3,91;
2026 03 12 12:13:14:950;0,26;11;1;11,17;0,61;36,35;3,25;3,91;
2026 03 12 12:13:14:952;0,26;11;1;11,17;0,61;36,35;3,25;3,91;
2026 03 12 12:13:14:954;0,26;11;1;11,17;0,61;36,35;3,25;0;
2026 03 12 12:13:14:956;0,26;11;1;11,17;0,61;36,35;3,25;11,72;
2026 03 12 12:13:14:958;0,26;11;1;11,17;0,61;36,35;3,25;19,53;
2026 03 12 12:13:14:960;0,26;11;1;11,17;0,61;36,35;3,25;3,91;
2026 03 12 12:13:14:962;0,26;11;1;11,17;0,61;36,35;3,25;-3,91;
2026 03 12 12:13:14:964;0,26;11;1;11,17;0,61;36,35;3,25;-15,62;
2026 03 12 12:13:14:966;0,26;11;1;11,17;0,61;36,35;3,25;-23,44;
2026 03 12 12:13:14:968;0,26;11;1;11,17;0,61;36,35;3,25;3,91;
2026 03 12 12:13:14:970;0,26;11;1;11,17;0,61;36,35;3,25;3,91;
2026 03 12 12:13:14:972;0,26;11;1;11,17;0,61;36,35;3,25;0;
2026 03 12 12:13:14:974;0,26;11;1;11,17;0,61;36,35;3,25;3,91;
2026 03 12 12:13:14:976;0,26;11;1;11,17;0,61;36,35;3,25;11,72;
2026 03 12 12:13:14:978;0,26;11;1;11,17;0,61;36,35;3,25;19,53;
2026 03 12 12:13:14:980;0,26;11;1;11,17;0,61;36,35;3,25;11,72;
2026 03 12 12:13:14:982;0,26;11;1;11,17;0,61;36,35;3,25;-3,91;
2026 03 12 12:13:14:984;0,26;11;1;11,17;0,61;36,35;3,25;-15,62;
2026 03 12 12:13:14:986;0,26;11;1;11,17;0,61;36,35;3,25;-19,53;
2026 03 12 12:13:14:988;0,26;11;1;11,17;0,61;36,35;3,25;3,91;
2026 03 12 12:13:14:990;0,26;11;1;11,17;0,61;36,35;3,25;3,91;
2026 03 12 12:13:14:992;0,26;11;1;11,17;0,61;36,35;3,25;3,91;
2026 03 12 12:13:14:994;0,26;11;1;11,17;0,61;36,35;3,25;0;
2026 03 12 12:13:14:996;0,26;11;1;11,17;0,61;36,35;3,25;11,72;
2026 03 12 12:13:14:998;0,26;11;1;11,17;0,61;36,35;3,25;15,63;
2026 03 12 12:13:15:000;0,26;11;1;11,17;0,61;36,35;3,25;11,72;
2026 03 12 12:13:15:002;0,26;11;1;11,17;0,61;36,35;3,25;-3,91;
2026 03 12 12:13:15:004;0,26;11;1;11,17;0,61;36,35;3,25;-15,62;
2026 03 12 12:13:15:006;0,26;11;1;11,17;0,61;36,35;3,25;-23,44;
2026 03 12 12:13:15:008;0,26;11;1;11,17;0,61;36,35;3,25;3,91;
2026 03 12 12:13:15:010;0,26;11;1;11,17;0,61;36,35;3,25;3,91;
2026 03 12 12:13:15:012;0,26;11;1;11,17;0,61;36,35;3,25;3,91;
2026 03 12 12:13:15:014;0,26;11;1;11,17;0,61;36,35;3,25;3,91;
2026 03 12 12:13:15:016;0,26;11;1;11,17;0,61;36,35;3,25;11,72;
2026 03 12 12:13:15:018;0,26;11;1;11,17;0,61;36,35;3,25;19,53;
2026 03 12 12:13:15:020;0,26;11;1;11,17;0,61;36,35;3,25;7,81;
2026 03 12 12:13:15:022;0,26;11;1;11,17;0,61;36,35;3,25;-7,81;
2026 03 12 12:13:15:024;0,26;11;1;11,17;0,61;36,35;3,25;-19,53;
2026 03 12 12:13:15:026;0,26;11;1;11,17;0,61;36,35;3,25;-23,44;
2026 03 12 12:13:15:028;0,26;11;1;11,17;0,61;36,35;3,25;0;
2026 03 12 12:13:15:030;0,26;11;1;11,17;0,61;36,35;3,25;0;
2026 03 12 12:13:15:032;0,26;11;1;11,17;0,61;36,35;3,25;3,91;
2026 03 12 12:13:15:034;0,26;11;1;11,17;0,61;36,35;3,25;3,91;
2026 03 12 12:13:15:036;0,26;11;1;11,17;0,61;36,35;3,25;11,72;
2026 03 12 12:13:15:038;0,26;11;1;11,17;0,61;36,35;3,25;15,63;
2026 03 12 12:13:15:040;0,26;11;1;11,17;0,61;36,35;3,25;11,72;
2026 03 12 12:13:15:042;0,26;11;1;11,17;0,61;36,35;3,25;-7,81;
2026 03 12 12:13:15:044;0,26;11;1;11,17;0,61;36,35;3,25;-15,62;
2026 03 12 12:13:15:046;0,26;11;1;11,17;0,61;36,35;3,25;-23,44;
2026 03 12 12:13:15:048;0,26;11;1;11,17;0,61;36,35;3,25;3,91;
2026 03 12 12:13:15:050;0,26;11;1;11,17;0,61;36,35;3,25;3,91;
2026 03 12 12:13:15:052;0,26;11;1;11,17;0,61;36,35;3,25;3,91;
2026 03 12 12:13:15:054;0,26;11;1;11,17;0,61;36,35;3,25;3,91;
2026 03 12 12:13:15:056;0,26;11;1;11,17;0,61;36,35;3,25;11,72;
2026 03 12 12:13:15:058;0,26;11;1;11,17;0,61;36,35;3,25;15,63;
2026 03 12 12:13:15:060;0,26;11;1;11,17;0,61;36,35;3,25;7,81;
2026 03 12 12:13:15:062;0,26;11;1;11,17;0,61;36,35;3,25;-7,81;
2026 03 12 12:13:15:064;0,26;11;1;11,17;0,61;36,35;3,25;-19,53;
2026 03 12 12:13:15:066;0,26;11;1;11,17;0,61;36,35;3,25;-23,44;
2026 03 12 12:13:15:068;0,26;11;1;11,17;0,61;36,35;3,25;0;
2026 03 12 12:13:15:070;0,26;11;1;11,17;0,61;36,35;3,25;0;
2026 03 12 12:13:15:072;0,26;11;1;11,17;0,61;36,35;3,25;0;
2026 03 12 12:13:15:074;0,26;11;1;11,17;0,61;36,35;3,25;3,91;
2026 03 12 12:13:15:076;0,26;11;1;11,17;0,61;36,35;3,25;15,63;
2026 03 12 12:13:15:078;0,26;11;1;11,17;0,61;36,35;3,25;15,63;
2026 03 12 12:13:15:080;0,26;11;1;11,17;0,61;36,35;3,25;11,72;
2026 03 12 12:13:15:082;0,26;11;1;11,17;0,61;36,35;3,25;-3,91;
2026 03 12 12:13:15:084;0,26;11;1;11,17;0,61;36,35;3,25;-19,53;
2026 03 12 12:13:15:086;0,26;11;1;11,17;0,61;36,35;3,25;-27,34;
2026 03 12 12:13:15:088;0,26;11;1;11,17;0,61;36,35;3,25;0;
2026 03 12 12:13:15:090;0,26;11;1;11,17;0,61;36,35;3,25;3,91;
2026 03 12 12:13:15:092;0,26;11;1;11,17;0,61;36,35;3,25;3,91;
2026 03 12 12:13:15:094;0,26;11;1;11,17;0,61;36,35;3,25;0;
2026 03 12 12:13:15:096;0,26;11;1;11,17;0,61;36,35;3,25;15,63;
2026 03 12 12:13:15:098;0,26;11;1;11,17;0,61;36,35;3,25;15,63;
2026 03 12 12:13:15:100;0,26;11;1;11,17;0,61;36,35;3,25;11,72;
2026 03 12 12:13:15:102;0,26;11;1;11,17;0,61;36,35;3,25;-7,81;
2026 03 12 12:13:15:104;0,26;11;1;11,17;0,61;36,35;3,25;-19,53;
2026 03 12 12:13:15:106;0,26;11;1;11,17;0,61;36,35;3,25;-23,44;
2026 03 12 12:13:15:108;0,26;11;1;11,17;0,61;36,35;3,25;0;
2026 03 12 12:13:15:110;0,26;11;1;11,17;0,61;36,35;3,25;3,91;
2026 03 12 12:13:15:112;0,26;11;1;11,17;0,61;36,35;3,25;0;
2026 03 12 12:13:15:114;0,26;11;1;11,17;0,61;36,35;3,25;3,91;
2026 03 12 12:13:15:116;0,26;11;1;11,17;0,61;36,35;3,25;15,63;
2026 03 12 12:13:15:118;0,26;11;1;11,17;0,61;36,35;3,25;19,53;
2026 03 12 12:13:15:120;0,26;11;1;11,17;0,61;36,35;3,25;7,81;
2026 03 12 12:13:15:122;0,26;11;1;11,17;0,61;36,35;3,25;-7,81;
2026 03 12 12:13:15:124;0,26;11;1;11,17;0,61;36,35;3,25;-19,53;
2026 03 12 12:13:15:126;0,26;11;1;11,17;0,61;36,35;3,25;-23,44;
2026 03 12 12:13:15:128;0,26;11;1;11,17;0,61;36,35;3,25;0;
2026 03 12 12:13:15:130;0,26;11;1;11,17;0,61;36,35;3,25;0;
2026 03 12 12:13:15:132;0,26;11;1;11,17;0,61;36,35;3,25;0;
2026 03 12 12:13:15:134;0,26;11;1;11,17;0,61;36,35;3,25;3,91;
2026 03 12 12:13:15:136;0,26;11;1;11,17;0,61;36,35;3,25;15,63;
2026 03 12 12:13:15:138;0,26;11;1;11,17;0,61;36,35;3,25;15,63;
2026 03 12 12:13:15:140;0,26;11;1;11,17;0,61;36,35;3,25;11,72;
2026 03 12 12:13:15:142;0,26;11;1;11,17;0,61;36,35;3,25;-7,81;
2026 03 12 12:13:15:144;0,26;11;1;11,17;0,61;36,35;3,25;-15,62;
2026 03 12 12:13:15:146;0,26;11;1;11,17;0,61;36,35;3,25;-23,44;
2026 03 12 12:13:15:148;0,26;11;1;11,17;0,61;36,35;3,25;3,91;
2026 03 12 12:13:15:150;0,26;11;1;11,17;0,61;36,35;3,25;0;
2026 03 12 12:13:15:152;0,26;11;1;11,17;0,61;36,35;3,25;0;
2026 03 12 12:13:15:154;0,26;11;1;11,17;0,61;36,35;3,25;0;
2026 03 12 12:13:15:156;0,26;11;1;11,17;0,61;36,35;3,25;15,63;
2026 03 12 12:13:15:158;0,26;11;1;11,17;0,61;36,35;3,25;11,72;
2026 03 12 12:13:15:160;0,26;11;1;11,17;0,61;36,35;3,25;7,81;
2026 03 12 12:13:15:162;0,26;11;1;11,17;0,61;36,35;3,25;-7,81;
2026 03 12 12:13:15:164;0,26;11;1;11,17;0,61;36,35;3,25;-19,53;
2026 03 12 12:13:15:166;0,26;11;1;11,17;0,61;36,35;3,25;-23,44;
2026 03 12 12:13:15:168;0,26;11;1;11,17;0,61;36,35;3,25;3,91;
2026 03 12 12:13:15:170;0,26;11;1;11,17;0,61;36,35;3,25;0;
2026 03 12 12:13:15:172;0,26;11;1;11,17;0,61;36,35;3,25;0;
2026 03 12 12:13:15:174;0,26;11;1;11,17;0,61;36,35;3,25;3,91;
2026 03 12 12:13:15:176;0,26;11;1;11,17;0,61;36,35;3,25;15,63;
2026 03 12 12:13:15:178;0,26;11;1;11,17;0,61;36,35;3,25;15,63;
2026 03 12 12:13:15:180;0,26;11;1;11,17;0,61;36,35;3,25;7,81;
2026 03 12 12:13:15:182;0,26;11;1;11,17;0,61;36,35;3,25;-7,81;
2026 03 12 12:13:15:184;0,26;11;1;11,17;0,61;36,35;3,25;-19,53;
2026 03 12 12:13:15:186;0,26;11;1;11,17;0,61;36,35;3,25;-23,44;
