Timestamp,Distance of optic sensor 0 [mm],Distance of optic sensor 1 [mm],RMS velocity spectrum ISO 10816 X [mm/s],RMS acceleration X [mg],RMS acceleration envelope X [mg],RMS raw data with frequency brands X [mg],Kurtosis method X [[1]],Peak to peak X [mg],Crest factor X [[1]],Analog raw input X [mg]
2026 02 19 14:08:20:573,-3.9985,-6.87625,"0,274",12,1,"11,673","0,9254","38,6658","3,3124",0
2026 02 19 14:08:20:575,-3.9675,-6.87625,"0,274",12,1,"11,673","0,9254","38,6658","3,3124","15,625"
2026 02 19 14:08:20:577,-3.9985,-6.87625,"0,274",12,1,"11,673","0,9254","38,6658","3,3124",0
2026 02 19 14:08:20:579,-3.9334,-6.78875,"0,274",12,1,"11,673","0,9254","38,6658","3,3124","-7,8125"
2026 02 19 14:08:20:581,-3.9985,-6.87625,"0,274",12,1,"11,673","0,9254","38,6658","3,3124","-19,5312"
2026 02 19 14:08:20:583,-3.9675,-6.78875,"0,274",12,1,"11,673","0,9254","38,6658","3,3124","-19,5312"
2026 02 19 14:08:20:585,-3.9675,-6.87625,"0,274",12,1,"11,673","0,9254","38,6658","3,3124","-3,9062"
2026 02 19 14:08:20:587,-3.9985,-6.78875,"0,274",12,1,"11,673","0,9254","38,6658","3,3124","-3,9062"
2026 02 19 14:08:20:589,-3.9675,-6.87625,"0,274",12,1,"11,673","0,9254","38,6658","3,3124","-3,9062"
2026 02 19 14:08:20:591,-3.9675,-6.78875,"0,274",12,1,"11,673","0,9254","38,6658","3,3124","-3,9062"
2026 02 19 14:08:20:593,-3.9985,-6.78875,"0,274",12,1,"11,673","0,9254","38,6658","3,3124","-3,9062"
2026 02 19 14:08:20:595,-3.9675,-6.87625,"0,274",12,1,"11,673","0,9254","38,6658","3,3124","11,7188"
2026 02 19 14:08:20:597,-3.9675,-6.87625,"0,274",12,1,"11,673","0,9254","38,6658","3,3124","7,8125"
2026 02 19 14:08:20:599,-3.9675,-6.87625,"0,274",12,1,"11,673","0,9254","38,6658","3,3124","-7,8125"
2026 02 19 14:08:20:601,-3.9985,-6.78875,"0,274",12,1,"11,673","0,9254","38,6658","3,3124","-19,5312"
2026 02 19 14:08:20:603,-3.9985,-6.78875,"0,274",12,1,"11,673","0,9254","38,6658","3,3124","-19,5312"
2026 02 19 14:08:20:605,-3.9675,-6.78875,"0,274",12,1,"11,673","0,9254","38,6658","3,3124","-3,9062"
2026 02 19 14:08:20:607,-3.9675,-6.70125,"0,274",12,1,"11,673","0,9254","38,6658","3,3124","-3,9062"
2026 02 19 14:08:20:609,-3.9675,-6.78875,"0,274",12,1,"11,673","0,9254","38,6658","3,3124","-3,9062"
2026 02 19 14:08:20:611,-3.9985,-6.78875,"0,274",12,1,"11,673","0,9254","38,6658","3,3124","-3,9062"
2026 02 19 14:08:20:613,-3.9334,-6.78875,"0,274",12,1,"11,673","0,9254","38,6658","3,3124","-3,9062"
2026 02 19 14:08:20:615,-3.9675,-6.87625,"0,274",12,1,"11,673","0,9254","38,6658","3,3124","11,7188"
2026 02 19 14:08:20:617,-3.9675,-6.87625,"0,274",12,1,"11,673","0,9254","38,6658","3,3124","3,9063"
2026 02 19 14:08:20:619,-3.9334,-6.78875,"0,274",12,1,"11,673","0,9254","38,6658","3,3124","-7,8125"
2026 02 19 14:08:20:621,-3.9675,-6.87625,"0,274",12,1,"11,673","0,9254","38,6658","3,3124","-15,625"
2026 02 19 14:08:20:623,-3.9334,-6.78875,"0,274",12,1,"11,673","0,9254","38,6658","3,3124","-19,5312"
2026 02 19 14:08:20:625,-3.9675,-6.78875,"0,274",12,1,"11,673","0,9254","38,6658","3,3124","-3,9062"
2026 02 19 14:08:20:627,-3.9675,-6.87625,"0,274",12,1,"11,673","0,9254","38,6658","3,3124","-3,9062"
