sep=;



Timestamp;RMS velocitz spectrum ISO 10816 Y [mm/s];RMS acceleration Y [mg];RMS acceleration envelope Y [mg];RMS raw data with frequencz brands Y [mg];Kurtosis method Y [[1]];Peak to peak Y [mg];Crest factor Y [[1]];Analog raw input Y [mg];
2026 02 19 14:08:20:573;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;0;
2026 02 19 14:08:20:575;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;15,625;
2026 02 19 14:08:20:577;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;3,9063;
2026 02 19 14:08:20:579;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;-7,8125;
2026 02 19 14:08:20:581;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;-15,625;
2026 02 19 14:08:20:583;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;-15,625;
2026 02 19 14:08:20:585;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;0;
2026 02 19 14:08:20:587;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;0;
2026 02 19 14:08:20:589;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;0;
2026 02 19 14:08:20:591;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;0;
2026 02 19 14:08:20:593;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;3,9063;
2026 02 19 14:08:20:595;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;15,625;
2026 02 19 14:08:20:597;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;7,8125;
2026 02 19 14:08:20:599;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;0;
2026 02 19 14:08:20:601;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;-19,5312;
2026 02 19 14:08:20:603;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;-19,5312;
2026 02 19 14:08:20:605;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;0;
2026 02 19 14:08:20:607;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;0;
2026 02 19 14:08:20:609;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;0;
2026 02 19 14:08:20:611;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;0;
2026 02 19 14:08:20:613;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;0;
2026 02 19 14:08:20:615;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;15,625;
2026 02 19 14:08:20:617;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;7,8125;
2026 02 19 14:08:20:619;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;-3,9062;
2026 02 19 14:08:20:621;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;-15,625;
2026 02 19 14:08:20:623;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;-15,625;
2026 02 19 14:08:20:625;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;0;
2026 02 19 14:08:20:627;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;0;
2026 02 19 14:08:20:629;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;-3,9062;
2026 02 19 14:08:20:631;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;0;
2026 02 19 14:08:20:633;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;3,9063;
2026 02 19 14:08:20:635;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;15,625;
2026 02 19 14:08:20:637;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;7,8125;
2026 02 19 14:08:20:639;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;-3,9062;
2026 02 19 14:08:20:641;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;-15,625;
2026 02 19 14:08:20:643;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;-15,625;
2026 02 19 14:08:20:645;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;0;
2026 02 19 14:08:20:647;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;0;
2026 02 19 14:08:20:649;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;0;
2026 02 19 14:08:20:651;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;0;
2026 02 19 14:08:20:653;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;0;
2026 02 19 14:08:20:655;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;15,625;
2026 02 19 14:08:20:657;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;7,8125;
2026 02 19 14:08:20:659;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;-3,9062;
2026 02 19 14:08:20:661;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;-19,5312;
2026 02 19 14:08:20:663;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;-19,5312;
2026 02 19 14:08:20:665;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;0;
2026 02 19 14:08:20:667;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;0;
2026 02 19 14:08:20:669;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;0;
2026 02 19 14:08:20:671;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;0;
2026 02 19 14:08:20:673;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;0;
2026 02 19 14:08:20:675;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;19,5313;
2026 02 19 14:08:20:677;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;7,8125;
2026 02 19 14:08:20:679;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;-3,9062;
2026 02 19 14:08:20:681;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;-15,625;
2026 02 19 14:08:20:683;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;-15,625;
2026 02 19 14:08:20:685;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;0;
2026 02 19 14:08:20:687;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;0;
2026 02 19 14:08:20:689;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;0;
2026 02 19 14:08:20:691;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;0;
2026 02 19 14:08:20:693;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;0;
2026 02 19 14:08:20:695;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;15,625;
2026 02 19 14:08:20:697;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;7,8125;
2026 02 19 14:08:20:699;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;-7,8125;
2026 02 19 14:08:20:701;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;-15,625;
2026 02 19 14:08:20:703;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;-7,8125;
2026 02 19 14:08:20:705;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;-3,9062;
2026 02 19 14:08:20:707;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;3,9063;
2026 02 19 14:08:20:709;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;0;
2026 02 19 14:08:20:711;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;0;
2026 02 19 14:08:20:713;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;0;
2026 02 19 14:08:20:715;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;15,625;
2026 02 19 14:08:20:717;0,265;12;1;11,5814;0,9057;38,1165;3,2912;7,8125;
2026 02 19 14:08:20:719;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
